Vietnamese, Bahnar
"Ê-rơ, tổ phụ của Lê-ca, La-ê-đa, tổ phụ của Ma-rê-sa và dòng họ của những người dệt vải ở Bết Ách-bê-a","Er, 'bă kơ Lêka, Laađa, 'bă kơ Marêsa păng lu adrĕch adrung lu bơngai tanh brai tơ pơlei Bêt Asbêa"
"Giô-kim, những người Cô-xê-ba, Giô-ách và Sa-ráp, người cai trị vùng Mô-áp và Gia-su-bi Lê-chem","Jôkim lu bơngai pơlei Kôsêba, Jôas păng Sarap, bơngai pơgơ̆r dêh Môap hăm Jasubi Lêhem"
Đây là những điều ghi chép cổ xưa,'Noh lu anăn đe chih sơ̆
Những người này là thợ gốm cư ngụ tại Nê-ta-im và Ghê-đê-ra; họ ở đó và làm việc cho vua,"Lu bơngai 'nâu gơh man ge gŏ, oei 'bơ̆t pơlei Nêtaim păng pơlei Gêđêra; lu sư oei tơ noh bơ̆jang kơ pơtao"
Con trai của Sau-lơ là Sa-lum; con trai của Sa-lum là Míp-sam; con trai của Míp-sam là Mích-ma,"Sallum kon drŏ-nglo Saul, Mipsam kon drŏ-nglo Sallum, păng Misma kon drŏ-nglo Mipsam"
Con trai của Mích-ma là:,Kon sâu Misma noh:
Ha-mu-ên; con trai của Ha-mu-ên là Xa-cư; con trai của Xa-cư là Si-mê-i,"Hammuel, kon drŏ-nglo Hammuel noh Sakur, kon drŏ-nglo Sakur noh Simêi"
Si-mê-i có mười sáu con trai và sáu con gái nhưng các anh em người không có nhiều con cho nên cả họ hàng của họ không đông bằng họ hàng Giu-đa,Na Simêi đei mơjĭt-tơdrâu 'nu kon drŏ-nglo păng tơdrâu 'nu kon drŏ-kăn; mă-lei 'nhŏng oh lu sư ưh kơ đei kon hơ'lơ̆p lơ thoi adrĕch bơngai Juđa
"Chúng ở tại Biệt-sê-ba, Mô-la-đa, Ha-sa-xua","Lu sư oei tơ pơlei Bêrsêba, pơlei Molađa pơlei Hasar Sual"
Đó là những thành của họ cho đến đời Đa-vít,'Noh boih pơlei lu sư oei truh tơ chăl pơtao Đawit pơgơ̆r
"Năm làng của họ là Ê-tam, A-in, Rim-môn, Tô-ken và A-san","Đei pơđăm tŏ pơlei iĕ jum dăr noh pơlei Êtam, Ain, Rimmôn, Tôken, păng Asan"
"Mê-sô-báp, Giam-léc, Giô-sa, con trai của A-ma-xia","Mêsôbap, Jamlek, Jôsa, kon drŏ-nglo Amasia"
"Giô-ên và Giê-hu, con trai của Giô-xơ-bia, cháu Sê-ra-gia, chắt A-si-ên","Jôel, Jêhu, noh kon drŏ-nglo Jôsibia, sâu Sêraia, sâu i Asiêl"
"Xi-xa, con trai của Si-phi, cháu của A-lôn, chắt của Giê-đa-gia, chít của Sim-ri, con trai của Sê-ma-gia","păng Sisa, kon drŏ-nglo Siphi, sâu Alôn sâu i Jêđaia, sâu ach Simri, kon drŏ-nglo Sêmaia"
Những người có tên trên là những người lãnh đạo trong họ hàng mình; dòng họ của chúng gia tăng rất nhiều,Dôm lu bơngai đei anăn 'nâu jơ̆ lu bơngai chĕp kơ̆l pơgơ̆r lăm adrĕch lu sư kơdih; adrĕch adrung lu sư rai tŏk kơdrơ̆m lơlang lơlap
Họ đi qua vùng phụ cận của Ghê-đô đến phía đông của thung lũng tìm đồng cỏ cho bầy súc vật mình,"Lu sư năm tơ tơring Gêđôr, truh tơ gah hơlĕch kơ thŭng dơnă, wă chă tơmăn 'nhĕt ăn kơ sem dơrong lu sư"
"Họ tìm được đồng cỏ phì nhiêu, tươi tốt và đất thì rộng rãi, yên lặng và bình an; trước kia dòng dõi Cham sinh sống ở đó","Lu sư chă 'bôh hloi tơmăn 'nhĕt bluh 'lơ̆ng na teh kư̆m să rơhơi, chơngue, hiôk-hian; adrol kơ noh adrĕch adrung Cham oei tơ noh"
"Một số trong vòng họ, năm trăm người Si-mê-ôn đi đến vùng núi Sê-i-rơ, những người lãnh đạo của họ là Phê-la-tia, Nê-a-ria, Rê-pha-gia và U-xi-ên; đó là những con trai của Di-si","Lăm adrĕch Simêôn đei pơđăm-hrĕng 'nu bơngai năm truh tơ tơring Kông Sêir; lu bơngai pơgơ̆r lu sư noh Phêlatia, Nêaria, Rêphaia păng Usiêl; 'noh lu kon drŏ-nglo Isi"
Họ tiêu diệt những người A-ma-léc còn sống sót và cư ngụ ở đó cho đến ngày nay,"Lu sư blah pơlôch bơngai Amalek mă oei đei klaih, na lu sư oei tơ noh hloi truh tơ dang ei"
"Các con trai của Ru-bên, trưởng nam của Y-sơ-ra-ên, vì người là trưởng nam nhưng đã làm ô uế giường của cha mình nên quyền trưởng nam của người bị trao cho các con của Giô-sép, con trai của Y-sơ-ra-ên; vì vậy người không được ghi trong gia phả như là trưởng nam","Rubên, kon drŏ-nglo kơdră Isơrael, yua kơ sư pơm pơ'mê̆ kơ giơng 'bă sư kơdih na krao kon kơdră noh, jing pơjao ăn kơ lu kon drŏ-nglo Jôsep, kon drŏ-nglo Isơrael; yua kơ noh lăm adrĕch adrung ưh kơ đei chih răk anăn sư kon kơdră"
Mặc dù Giu-đa hùng mạnh hơn các anh em mình và một nhà lãnh đạo ra từ người nhưng quyền trưởng nam thuộc về Giô-sép,Mă Juđa pran kơtang hloh kơ lu 'nhŏng oh sư păng đơ̆ng sư na đei pơtao pơgơ̆r; mă-lei jing kon kơdră noh tơ Jôsep
"Các con trai của Ru-bên, trưởng nam của Y-sơ-ra-ên là:","'Nâu lu kon drŏ-nglo Rubên, kon kơdră drŏ-nglo Isơrael:"
"Hê-nóc, Pha-lu, Hết-rôn và Cạt-mi","Hanok, Palu, Hêsrôn păng Karmi"
Anh em của Bê-ê-ra theo họ hàng được liệt kê trong gia phả của dòng họ là:,'Nhŏng oh kiơ̆ kơ adrĕch sư đe chih jô̆ lăm sơ̆p hla bơar adrĕch adrung:
"Giê-i-ên, trưởng tộc, Xa-cha-ri","Noh Jêiêl bơngai pơgơ̆r, Sachari"
"Bê-la, con trai A-xa, cháu Sê-ma, chắt Giô-ên","păng Bêla kon drŏ-nglo Asa, sâu Sêma, sâu i Jôel"
"Bê-la cư ngụ tại A-rô-e, cho đến Nê-bô và Ba-anh Mê-ôn",Lu sư oei đơ̆ng pơlei Arôe truh tơ Nêbô păng Baal Mêôn
về phía đông người cư ngụ từ bờ sa mạc đến sông Ơ-phơ-rát vì bầy súc vật của người tăng gia rất nhiều trong xứ Ga-la-át,"Gah hơlĕch sư oei tơ char glă mă să truh tơ đak Krong Ơphrat, yua kơ khŭl sem dơrong lu sư chek hrôh rai lơlap lơlang lăm dêh Gileat"
"Trong thời vua Sau-lơ, họ tranh chiến với dân Ha-ga-rít và đánh bại chúng rồi cư ngụ trong khắp vùng của chúng ở phía đông Ga-la-át","Lăm jơhnơr pơtao Sôl, lu sư tơblah hăm kon pơlei Hagrit jei lu sư păng oei hloi lăm jơ̆p kơ tơring gah hơlĕch dêh Gileat"
Các con trai của Gát cư ngụ đối diện với họ trong xứ Ba-san cho đến Sanh-ca,Kon drŏ-nglo Gat oei tơklă jê̆ lu sư lăm dêh Basan truh tơ Salêka
"Giô-ên là trưởng tộc, Sa-pham là phó rồi đến Gia-nai và Sa-phát ở Ba-san","Jôel bơngai yŏng kơdră, Sapham bơngai jang đơ̆ng rŏng kơ sư đơ̆ng noh Janai păng Saphat pơgơ̆r lăm char Basan"
"những người này là con cháu của A-bi-hai, A-bi-hai con của Hu-ri, Hu-ri con của Gia-ô-ra, Gia-rô-a con của Ga-la-át, Ga-la-át con của Mi-ca-ên, Mi-ca-ên con của Giê-si-sai, Giê-si-sai con của Giác-đô, Giác-đô con của Bu-xơ","'Noh boih lu kon drŏ-nglo Abihai, Abihai kon drŏ-nglo Huri, Huri kon drŏ-nglo Jarôa, Jarôa kon drŏ-nglo Gileat, Gileat kon drŏ-nglo Mikael, Mikael kon drŏ-nglo Jêsisai, Jêsisai kon drŏ-nglo Jađô, Jađô kon drŏ-nglo Bus"
"A-hi con của Áp-đi-ên, Áp-đi-ên con của Gu-ni; A-hi là trưởng tộc","Ahi kon drŏ-nglo Apđiel, Apđiel kon drŏ-nglo Guni; Ahi bơngai yŏng kơdră lăm adrĕch lu sư"
"Những người này cư ngụ tại Ga-la-át, Ba-san, các làng của họ và trong mọi đồng cỏ của Sa-rôn, đến tận ranh giới nó","Lu sư oei lăm char Gileat, lăm char Basan, dêh lu pơlei iĕ; kư̆m oei lăm tơmăn 'nhĕt thŭng Sarôn truh kơ hơdral dêh char lu sư"
Tất cả những người này đều được chép trong gia phả vào thời vua Giô-tham nước Giu-đa và thời vua Giê-rô-bô-am nước Y-sơ-ra-ên,Lu bơngai 'nâu đei chih tơmơ̆t boih lăm sơ̆p hla bơar adrĕch adrung chăl Jôtham pơm pơtao dêh char Juđa păng lăm chăl Jêrôbôam pơm pơtao dêh char Isơrael
"Những người Ru-bên, người Gát và nửa chi tộc Ma-na-se, là những người khỏe mạnh, biết sử dụng khiên, gươm, cung, thạo việc chinh chiến; có bốn mươi bốn ngàn bảy trăm sáu mươi người sẵn sàng để chiến đấu","Lăm kon sâu Rubên, Gat păng minh puăt adrĕch Manase, lu bơngai pran kơtang, gơh hơgei chĕp khêl đao, hră păng juăt tơblah hơgei; puăn-jĭt puăn-rơbâu tơpơh-hrĕng tơdrâu-jĭt 'nu bơngai hơmet boih wă tơblah"
"Họ giao chiến với dân Ha-ga-rít, dân Giê-tua, dân Na-phi và dân Nô-đáp","Lu sư tơblah hăm kon pơlei Hagrit, kon pơlei Jêtur, kon pơlei Naphis, păng kon pơlei Nôđap"
Họ được giúp đỡ trong khi chiến đấu và dân Ha-ga-rít cùng những người theo chúng bị thua vì họ đã cầu khẩn Đức Chúa Trời trong khi chiến đấu và Ngài đáp lời họ vì họ tin cậy Ngài,"Lăm kơplah tơblah băl, lu sư krao apinh Kră Yang 'Bok Kei-Dei, na Kră Yang 'Bok Kei-Dei tơgŭm lu sư tơblah hăm kon pơlei Hagrit păng đĭ-đăng lu bơngai kiơ̆ sư jei lu sư yua kơ lu sư đei jơhngơ̆m đon lui gơnang kơ Kră Yang"
"Họ bắt đi bầy súc vật của người Ha-ga-rít: Năm mươi ngàn lạc đà, hai trăm năm mươi ngàn chiên, hai ngàn lừa và một trăm ngàn người","Lu sư đei rôp iŏk khŭl sem dơrong lu kon pơlei Hagrit, pơđăm-jĭt rơbâu aseh lăk-đa, 'bar-hrĕng pơđăm-jĭt rơbâu triu, 'bar-rơbâu aseh iĕ păng hăm minh-hrĕng rơbâu 'nu bơngai"
Cũng có nhiều người chết vì Đức Chúa Trời chiến đấu trong trận chiến này,"Kŭm đei lơ bơngai lôch, yua kơ đei Kră Yang 'Bok Kei-Dei wang tơblah lăm năr tơblah băl 'nâu"
Họ cư ngụ thay vào chỗ đó cho đến khi bị lưu đày,Lu sư oei tơ noh hloi dĭng truh tơ đe rôp chông ba năm pơm bơnă
"Người của nửa chi tộc Ma-na-se rất đông, họ cư ngụ trong vùng từ Ba-san cho đến Ba-anh Hẹt-môn, Sê-nia và núi Hẹt-môn","Đei minh puăt bơngai Manase oei lăm dêh char noh lơ tơpă iŏk đơ̆ng dêh Basan truh tơ Baal Hermôn, tơ Sênir păng Kông Hermôn"
"Nhưng chúng bất trung với Đức Chúa Trời của tổ tiên mình, chúng đi theo các thần của dân bản địa mà Đức Chúa Trời đã hủy diệt trước mặt chúng","Mă-lei lu sư pơm yoch hăm Kră Yang 'Bok Kei-Dei 'bok lu sư, lu sư kiơ̆ lu rup yang lu bơngai dêh char noh, mă Kră Yang 'Bok Kei-Dei đei pơrăm lê̆ boih 'bơ̆t anăp lu sư"
"Nên Đức Chúa Trời của Y-sơ-ra-ên thúc đẩy tinh thần vua Phun của A-si-ri, vua Tiếc-lác Phin-nê-se của A-si-ri bắt dân Ru-bên, Gát và nửa chi tộc Ma-na-se lưu đày sang Ha-la, Cha-bo, Ha-ra và vùng sông Gô-sen cho đến ngày nay","Na Kră Yang 'Bok Kei-Dei Isơrael, pơtrŭt jơhngơ̆m Pul, pơtao dêh char Asiri păng Tiglat Phileser pơtao dêh char Asiri, rôp lu kon pơlei bơngai Rubên, bơngai Gat păng minh puăt bơngai Manase anhăk ba lu sư tơ pơlei Hala, Habôr, Hara, păng tơ tơring đak Krong Gôsan, dĭng truh tơ dang ei"
Các con trai của Kê-hát là:,Kon drŏ-nglo Kôhat noh:
"Am-ram, Dít-sê-ha, Hếp-rôn và U-xi-ên","Amram, Ishar, Hêbrôn păng Usiel"
Các con của Am-ram là:,Kon drŏ-nglo Amram noh:
"A-rôn, Môi-se và Mi-ri-am;","Arôn, Môis păng Miriam"
các con trai của A-rôn là:,Kon drŏ-nglo Arôn:
"Na-đáp, A-bi-hu, Ê-lê-a-sa và Y-tha-ma","Nađap, Abihu, Êlêasar păng Ithamar"
Ê-lê-a-sa sinh Phi-nê-a;,Êlêasar pơjing Phinêhas;
Phi-nê-a sinh A-bi-sua,Phinêhas pơjing Abisua
A-bi-sua sinh Bu-ki;,"Abisua pơjing Buki,"
Bu-ki sinh U-xi,Buki pơjing Usi
U-xi sinh Xê-ra-hi-gia;,Usi pơjing Sêrahia;
Xê-ra-hi-gia sinh Ma-ra-giốt,Sêrahia pơjing Mêraiôt
Mê-ra-giốt sinh A-ma-ria;,"Mêraiôt pơjing Amaria,"
A-ma-ria sinh A-hi-túp,Amaria pơjing Ahitup
A-hi-túp sinh Xa-đốc;,Ahitup pơjing Sađôk;
Xa-đốc sinh A-hi-ma-ách,Sađôk pơjing Ahimaas
A-hi-ma-ách sinh A-xa-ria;,Ahimaas pơjing Asaria;
A-xa-ria sinh Giô-ha-nan,Asaria pơjing Jôhanan
"Giô-ha-nan sinh A-xa-ria, người là thầy tế lễ trong đền thờ vua Sa-lô-môn đã xây tại Giê-ru-sa-lem","Jôhanan pơjing Asaria, bơngai mă pơm 'bok soi lăm hnam akŭm Sôlômôn man tơ pơlei Jêrusalem"
A-xa-ria sinh A-ma-ria;,Asaria pơjing Amaria;
A-ma-ria sinh A-hi-túp,Amaria pơjing Ahitup
A-hi-túp sinh Xa-đốc;,"Ahitup pơjing Sađôk,"
Xa-đốc sinh Sa-lum,Sađôk pơjing Sallum
Sa-lum sinh Hinh-kia;,"Sallum pơjing Hilkia,"
Hinh-kia sinh A-xa-ria,Hilkia pơjing Asaria
A-xa-ria sinh Sê-ra-gia;,Asaria pơjing Sêraia
Sê-ra-gia sinh Giê-hô-gia-đát,păng Sêraia pơjing Jêhôsađak
Giê-hô-gia-đát bị đi lưu đày khi CHÚA trao Giu-đa và Giê-ru-sa-lem vào tay Nê-bu-cát-nết-sa,Jêhôsađak đe rôp pơm đĭch đam kơplah Kră Yang ăn kon pơlei Juđa păng Jêrusalem lăm ti Nebukatnessar
Các con trai của Lê-vi là,Kon drŏ-nglo Lêwi noh:
"Ghẹt-sôn, Kê-hát và Mê-ra-ri","Gersôm, Kôhat, păng Mêrari"
Đây là tên các con trai của Ghẹt-sôn:,'Nâu anăn lu kon drŏ-nglo Gersôm:
Líp-ni và Si-mê-i,Lipni păng Simêi
Các con trai của Kê-hát,Kon drŏ-nglo Kôhat noh:
"là Am-ram, Dít-sê-ha, Hếp-rôn và U-xi-ên","Amram, Ishar, Hêbrôn, păng Usiel"
Các con trai của Mê-ra-ri là:,Kon drŏ-nglo Mêrari noh:
Mách-li và Mu-si,Mali păng Musi
Ấy là họ hàng dòng Lê-vi theo tông tộc mình,'Noh boih lu adrĕch bơngai Lêwi kiơ̆ kơ adrĕch 'bă sư
Con cháu của Ên-ca-na là:,Kon sâu Êlkana noh:
A-ma-sai và A-hi-mốt,Amasai păng Ahimôt
Si-mê-a là con trai của Mi-ca-ên; Mi-ca-ên là con trai của Ba-sê-gia;,"Simêa kon drŏ-nglo Mikael, Mikael kon drŏ-nglo Baseria,"
Ba-sê-gia là con trai của Manh-ki-gia,Baseria kon drŏ-nglo Malkija
Hinh-kia con trai của Am-si; Am-si con trai của Ba-ni;,"Hilkia kon drŏ-nglo Amsi,"
Ba-ni con trai của Sê-me,"Amsi kon drŏ-nglo Bani, Bani kon drŏ-nglo Sêmer"
"Những người Lê-vi anh em của chúng được giao cho mọi công việc phục vụ trong đền tạm, nhà của Đức Chúa Trời","Lu 'nhŏng oh sư nai bơngai Lêwi, bơ̆jang tơdrong jang lăm anih akŭm Kră Yang 'Bok Kei-Dei"
"Nhưng A-rôn và con cháu người dâng tế lễ trên bàn thờ tế lễ thiêu hay trên bàn thờ dâng hương, làm mọi phận sự nơi chí thánh và dâng tế lễ chuộc tội cho Y-sơ-ra-ên, theo như mọi điều Môi-se, tôi tớ Đức Chúa Trời, đã truyền","Mă-lei Arôn păng lu kon sâu sư pơyơ̆r tơmam soi 'buh tơ kơpal chơnang soi, dah tơ kơpal chơnang soh pơgang 'bâu phu, jang tơdrong jang tơ lăm Anih Rơgoh, pơyơ̆r tơmam soi huai đơ̆ng yoch ăn kơ bơngai Isơrael, kiơ̆ thoi tơdrong Môis đĭch đam Kră Yang 'Bok Kei-Dei đei bơtho pơkă"
Xa-đốc con trai của A-hi-túp;,"Sađôk kon drŏ-nglo Ahitup,"
A-hi-ma-ách con trai của Xa-đốc,Ahimaas kon drŏ-nglo Sađôk
Đây là những địa điểm định cư trong địa phận cho con cháu A-rôn theo họ hàng Kê-hát vì phần họ được bóc thăm trước,"'Nâu tơring teh đak kon sâu Arôn oei, kiơ̆ kơ adrĕch Kôhat đei hlang lăng trŏ kơ lu sư"
Họ được ban cho Hếp-rôn trong phần đất của Giu-đa và các đồng cỏ chung quanh,Pơjao ăn kơ lu sư pơlei Hêbrôn tơ lăm dêh Juđa păng tơ'măn 'nhĕt jum dăr
"Nhưng các cánh đồng trong thành và các làng thì ban cho Ca-lép, con trai của Giê-phu-nê",Mă-lei teh mir na jum dăr pơlei Hêbrôn păng lu pơlei iĕ 'noh pơjao ăn kơ Kalep kon drŏ-nglo Jêphunê
"Con cháu A-rôn được ban cho các thành trú ẩn: Thành Hếp-rôn, Líp-na với các đồng cỏ của nó, Gia-tia và Ếch-tê-mô-a cùng các đồng cỏ của nó","Na kon sâu Arôn đei ăn lu pơlei anih ôn kơ'nơp, 'noh pơlei Hêbrôn, Lipna, Jatir Êthemôa"
"A-san và các đồng cỏ nó, Bết-sê-mết cùng các đồng cỏ nó","Asan, Juta, Bêt Sêmes păng dơnih 'nhĕt lu sư"
"từ chi tộc Bên-gia-min họ được ban cho thành Ghê-ba và các đồng cỏ nó, A-lê-mết và các đồng cỏ nó, A-na-tốt và các đồng cỏ nó","Iŏk đơ̆ng adrĕch Bênjamin pơjao ăn kơ lu sư pơlei Gêba, Alêmet, Anahôt, păng dơnih 'nhĕt lu sư"
Tất cả là mười ba thành cho họ hàng chúng,"Đĭ-đăng đei mơjĭt-pêng tŏ pơlei tih, ăn kiơ̆ kơ adrĕch adrung lu sư"
"Con cháu còn lại của Kê-hát bắt thăm được mười thành từ dòng họ mình, từ nửa chi tộc mình và nửa chi tộc Ma-na-se",Kon sâu Kôhat mă oei đei đơ̆ng rŏng hlang lăng đei mơjĭt tŏ pơlei đơ̆ng lăm minh puăt adrĕch Manase
"Con cháu Mê-ra-ri theo họ hàng được mười hai thành từ chi tộc Ru-bên, chi tộc Gát và Sa-bu-luân","Kon sâu Mêrari, kiơ̆ kơ adrĕch lu sư, dai hlang lăng đei mơjĭt-'bar tŏ pơlei, iŏk đơ̆ng adrĕch Rubên, adrĕch Gat păng adrĕch Sabulôn"
Người Y-sơ-ra-ên cấp cho người Lê-vi các thành cùng với đồng cỏ của chúng,Bơngai Isơrael asong ăn kơ bơngai Lêwi pơlei păng dơnih 'nhĕt teh lu sư
"Từ các chi tộc Giu-đa, Si-mê-ôn và Bên-gia-min họ được các thành kể trên","Đơ̆ng bơngai Juđa bơngai Simêôn, păng bơngai Bênjamin, lu sư đei lu pơlei kơpal noh"
Một số người thuộc họ Kê-hát được các thành trong chi tộc Ép-ra-im,Mơ'nah lu bơngai Kôhat đei lu pơlei iŏk đơ̆ng lăm adrĕch Êphraim
"Họ được ban cho các thành trú ẩn: Thành Si-chem với các đồng cỏ nó trên núi Ép-ra-im, Ghê-xe với các đồng cỏ nó","Lu sư đei pơlei ôn kơ'nơp, 'noh Pơlei Sichem hăm dơnih 'nhĕt sư, tơ kơpal kông Êphraim, Geser hăm"
"Giốc-mê-am với các đồng cỏ nó, Bết-hô-rôn với các đồng cỏ nó","Jôkmêam, Bêt Hôrôn"
"A-gia-lôn với các đồng cỏ nó, Gát-rim-môn với các đồng cỏ nó","Aijalôn, Gat Rimmôn hăm dơnih 'nhĕt lu sư"
Con cháu Ghẹt-sôn,"Kon sâu Gersôm iŏk đơ̆ng minh puăt adrĕch Manase,"
"từ họ hàng của nửa chi tộc Ma-na-se được Gô-lan trong vùng Ba-san và các đồng cỏ nó, Ách-ta-rốt với các đồng cỏ nó",pơlei Gôlan tơring Basan hăm dơnih 'nhĕt sư Astarôt hăm dơnih 'nhĕt sư
Từ chi tộc Y-sa-ca,"Đơ̆ng adrĕch Isakar,"
"họ được Kê-đe với các đồng cỏ nó, Đô-bê-rát với các đồng cỏ nó","lu sư đei pơlei Kêđes, Đabêrat"
"Ra-mốt cùng các đồng cỏ nó, A-nem cùng các đồng cỏ nó","pơlei Ramôt, pơlei Anem hăm dơnih 'nhĕt lu sư"
Từ chi tộc A-se,"đơ̆ng adrĕch Aser,"
"họ được Ma-sanh cùng các đồng cỏ nó, Áp-đôn cùng các đồng cỏ nó, Hu-cô cùng các đồng cỏ nó","lu sư đei Masal, Apđôn"
Rê-hốp cùng các đồng cỏ nó,"Hukô, Rêhôp hăm dơnih 'nhĕt lu sư"
Từ chi tộc Nép-ta-li,Đơ̆ng adrĕch Naptali
"họ được Kê-đe trong vùng Ga-li-lê cùng với các đồng cỏ nó, Ham-môn cùng các đồng cỏ nó, Ki-ri-a-tha-im cùng các đồng cỏ nó","lu sư đei pơlei Kêđes lăm char Galilê, pơlei Hammôn păng pơlei Kiriathaim hăm dơnih 'nhĕt lu sư"
"Kê-đê-mốt với các đồng cỏ nó, Mê-phát với các đồng cỏ nó",Kêđêmôt păng Mêphaat hăm dơnih 'nhĕt sư
Từ chi tộc Gát,"Păng đơ̆ng adrĕch Gat,"
"họ được Ra-mốt ở vùng Ga-la-át với các đồng cỏ nó, Ma-ha-na-im với các đồng cỏ nó","lu sư đei pơlei Ramôt lăm tơring Gileat, pơlei Mahanaim"
Hết-rôn với các đồng cỏ nó và Gia-ê-xe cùng các đồng cỏ nó,"pơlei Hesbôn Jaser, hăm dơnih 'nhĕt sư"
Các con trai của Y-sa-ca là:,Kon drŏ-nglo Isakar:
"Thô-la, Phu-a, Gia-súp và Sim-rôn, bốn người","Tôla, Pua, Jasup păng Simrôn, puăn 'nu"
Ba con trai của Bên-gia-min là:,Pêng 'nu kon drŏ-nglo Bênjamin:
"Bê-la, Bê-ka và Giê-đi-a-ên","Bêla, Bêker păng Jêđiael"
Các con trai của Bê-ka là:,Kon drŏ-nglo Bêker:
"Xê-mi-ra, Giô-ách, Ê-li-ê-se, Ê-li-ô-ê-nai, Ôm-ri, Giê-rê-mốt, A-bi-gia, A-na-tốt và A-lê-mết; tất cả đều là con Bê-ka","Sêmira, Jôas, Êliêser, Êliôenai, Ômri, Jêremôt, Abija, Anathôt păng Alêmet, dôm lu sư kon drŏ-nglo Bêker"
Con trai của Giê-đi-a-ên là:,Kon drŏ-nglo Jêđiael noh:
các con trai của Binh-han là:,Kon drŏ-nglo Bilhan:
"Giê-úc, Bên-gia-min, Ê-hút, Kê-na-nia, Xê-than, Ta-rê-xi và A-hi-sa-ha","Jêus, Bênjamin, Êhut, Kênaana, Sêthan, Tarsis păng Ahisahar"
"Cũng có Súp-bim và Hốp-bim là con trai của Y-rơ và Hu-sim, con trai của A-he","Na đei dơ̆ng Suppit păng Hupim, kon sâu Ir; păng Husim kon sâu Aher"
Các con trai của Nép-ta-li:,Kon drŏ-nglo Neptali:
"Gia-si-ên, Gu-ni, Giê-se và Sa-lum; chúng đều là con của bà Bi-la","Jaseel, Guni, Jeser păng Silem, kon sâu yă Bila"
Con cháu Ma-na-se là:,Kon sâu Manase noh:
"Ách-ri-ên do cô hầu người A-ram sinh; người cũng sinh Ma-ki, là tổ phụ của Ga-la-át","Asriel, kon akăn kơnhŏng Manase bơngai Aram sư tơpŭ kơ Makir 'bă kơ Gileat"
Con trai của U-lam là:,Kon drŏ-nglo Ulam noh:
"Những người này là con cháu của Ga-la-át, Ma-ki và Ma-na-se","'Noh boih kon drŏ-nglo Gileat, sâu Makir, sâu i Manase"
"Em gái của người là Ha-mô-lê-kết sinh Y-sốt, A-bi-ê-se và Mác-la","Oh drŏ-kăn Gileat, noh Hammôleket, pơjing Ishôt, Abiêser păng Mahla"
Các con trai của Sê-mi-đa là:,Kon drŏ-nglo Sêmiđa noh:
"A-hi-an, Sê-kem, Li-khi và A-ni-am","Ahian, Sichem, Likhi păng Aniam"
"Ép-ra-im, cha chúng nó khóc thương chúng nó nhiều ngày; các anh em người đến an ủi người","Êphraim 'bă lu sư, nhơ̆m hmoi đunh măng năr; đei 'nhŏng oh sư năm ngôi pơlung sư"
